graph_name timelimit K 
./instances/slashdot-undirected-size200-part0.graph 300 2
./instances/slashdot-undirected-size300-part0.graph 300 2
./instances/slashdot-undirected-size400-part0.graph 300 2
./instances/slashdot-undirected-size600-part0.graph 300 2
./instances/slashdot-undirected-size800-part0.graph 300 2
./instances/slashdot-undirected-size1000-part0.graph 900 2
./instances/slashdot-undirected-size2000-part0.graph 900 2
./instances/slashdot-undirected-size4000-part0.graph 900 2
./instances/slashdot-undirected-size8000-part0.graph 1800 2
./instances/slashdot-undirected-size10000-part0.graph 3600 2
./instances/slashdot-undirected-size200-part0.graph 300 4   
./instances/slashdot-undirected-size300-part0.graph 300 4   
./instances/slashdot-undirected-size400-part0.graph 300 4   
./instances/slashdot-undirected-size600-part0.graph 300 4   
./instances/slashdot-undirected-size800-part0.graph 300 4   
./instances/slashdot-undirected-size1000-part0.graph 900 4  
./instances/slashdot-undirected-size2000-part0.graph 900 4  
./instances/slashdot-undirected-size4000-part0.graph 900 4  
./instances/slashdot-undirected-size8000-part0.graph 1800 4 
./instances/slashdot-undirected-size10000-part0.graph 3600 4
./instances/slashdot-undirected-size200-part0.graph 300 8   
./instances/slashdot-undirected-size300-part0.graph 300 8   
./instances/slashdot-undirected-size400-part0.graph 300 8   
./instances/slashdot-undirected-size600-part0.graph 300 8   
./instances/slashdot-undirected-size800-part0.graph 300 8   
./instances/slashdot-undirected-size1000-part0.graph 900 8  
./instances/slashdot-undirected-size2000-part0.graph 900 8  
./instances/slashdot-undirected-size4000-part0.graph 900 8  
./instances/slashdot-undirected-size8000-part0.graph 1800 8 
./instances/slashdot-undirected-size10000-part0.graph 3600 8
./instances/slashdot-undirected-size200-part0.graph 300 16   
./instances/slashdot-undirected-size300-part0.graph 300 16   
./instances/slashdot-undirected-size400-part0.graph 300 16   
./instances/slashdot-undirected-size600-part0.graph 300 16   
./instances/slashdot-undirected-size800-part0.graph 300 16   
./instances/slashdot-undirected-size1000-part0.graph 900 16  
./instances/slashdot-undirected-size2000-part0.graph 900 16  
./instances/slashdot-undirected-size4000-part0.graph 900 16  
./instances/slashdot-undirected-size8000-part0.graph 1800 16 
./instances/slashdot-undirected-size10000-part0.graph 3600 16
./instances/slashdot-undirected-size200-part0.graph 300 32   
./instances/slashdot-undirected-size300-part0.graph 300 32   
./instances/slashdot-undirected-size400-part0.graph 300 32   
./instances/slashdot-undirected-size600-part0.graph 300 32   
./instances/slashdot-undirected-size800-part0.graph 300 32   
./instances/slashdot-undirected-size1000-part0.graph 900 32  
./instances/slashdot-undirected-size2000-part0.graph 900 32  
./instances/slashdot-undirected-size4000-part0.graph 900 32  
./instances/slashdot-undirected-size8000-part0.graph 1800 32 
./instances/slashdot-undirected-size10000-part0.graph 3600 32
./instances/slashdot-undirected-size200-part0.graph 300 64   
./instances/slashdot-undirected-size300-part0.graph 300 64   
./instances/slashdot-undirected-size400-part0.graph 300 64   
./instances/slashdot-undirected-size600-part0.graph 300 64   
./instances/slashdot-undirected-size800-part0.graph 300 64   
./instances/slashdot-undirected-size1000-part0.graph 900 64  
./instances/slashdot-undirected-size2000-part0.graph 900 64  
./instances/slashdot-undirected-size4000-part0.graph 900 64  
./instances/slashdot-undirected-size8000-part0.graph 1800 64 
./instances/slashdot-undirected-size10000-part0.graph 3600 64
./instances/slashdot-undirected-size200-part0.graph 300 128   
./instances/slashdot-undirected-size300-part0.graph 300 128   
